Invoice Number,Issue Date,Total Amount,Vendor,Image name
76552,12/11/2016,"53,000.00",NULL,42b3bb58-def3-4640-80e4-dd6d4741e459.png
2491839,24/06/2019,"$2,255.00",AA Associates,457c3f7b-9c0b-41c1-b9d2-ece26cc55da7.jpg
NULL,NULL,$198.40,"Tesla Motors, Inc.",4ea82b85-8047-4f49-a6a1-e6de8af5ce0d.png
#INV2081,11/11/18,"$2,844.80",Stanford Plumbing & Heating,52b93e4c-b546-4652-ab77-9327d0d5f0ed.png
34567,04 Jul 2022,19860.00,ABC Exports,56415ebf-98cc-4050-a4eb-58de6c5d22bf.jpg
0000002,1/01/2008,$278.30,Accurate Expressions,5656d8ad-6ba4-4ea7-9a11-61af95ab15db.jpg
51580,06/20/2018,1357.02,LYLAC Inc.,57bfc8b1-f737-48db-98e2-718ac74ac353.jpg
RathM-1617-00111,14/07/2016,"708,994.00",RATHOD MOTORS,5bffb8e1-aef4-44b5-8ee5-a9be8089b79e.jpg
1,4-Apr-20,52510.00,Max Enterprises,5f5f7af4-933d-47f6-9fe0-ab05eab6ef71.jpg
1,1-Apr-2008,"1,976.00",SHRI KRISHNA MOTORS,6ddc9b01-d77a-4b5a-aed2-5f4b7ad13149.jpg
42,"07-06-2021, 14:00",$37.30,My Cool Store,7250fa3a-7d71-46de-847a-5355adf37f5c.png
00020,01-08-2017,"£3,696.00",AXLSolutions Ltd,7c8910ed-2baa-43f2-9ecc-dfdeb7ddf159.png
123456,2015/05/07,24.00,MCA Est. Corp.,897aa322-67ca-4eb0-801c-6db864c6af49.jpg
NULL,2018/08/21,76.48,Poon,8c2d634a-84a6-42a0-a4e5-397b07167c74.jpg
INV-17,08/02/2020,662.75,Zylker,941652f2-4e5c-4225-9c3c-c2e71a8d41c2.png
US-001,11/02/2019,$154.06,East Repair Inc.,94642ef3-5940-4a38-8666-5d77ec2f66c8.png
0000376,01-Apr-19,465.67 GBP,Findem Ltd,985b24bc-0fc6-4710-bdc6-cf3a24594a40.png
INV-000099,21/01/2021,362.88,Dangerous Toys R Us Ltd,989e721d-8fca-49e2-b4b0-ffb2f79cd176.png
CT0001,1-1-2021,"₹14,880.00",Defmacro Software Pvt. Ltd,99ac9878-e112-4a90-aee5-f09b65d92c85.png
NULL,2017/09/13,30.00,Wayne Enterprises,9c8af380-546d-46dd-b78e-af791f27ab2f.png
X4383 – 03,14-Sep-21,"5,220.00",Austen Tech Pty Ltd,9cc280ea-5709-4677-bd3f-0e2981e0c7cc.png
336678888888,8/07/202X,NULL,ELECTRONICA CENTRE,a7ab822c-abae-4ce9-adf3-294f349952a7.png
0047,"January 13, 2015",$776.31,Shopify Hardware Store,a8c2e338-c998-40f1-97b0-e9571628931a.jpg
190,1/28/2005,"$23,497.60","AweFence, Inc.",ab6dee1e-6199-4ee5-bb66-146608363207.jpg
ATAJLP001,22 JUNE 2022,$4.00,GANDULES,b96ddbb9-1525-4c0b-bd5d-90d1f9e7ab2d.png
205,11/03/93,280832.00,"Segmented Marketing Services, Inc.",bbceab98-2049-487b-bc29-85dee1daad7f.jpg
INV/MNSG/17/110435,20-Nov-2017,"44,780.00",MICRODYN-NADIR SINGAPORE PTE LTD,c1c17002-1eb6-4bd7-b052-e69c0b36cf8c.jpg
US-001,11/02/2019,$154.06,East Repair Inc.,c2206da4-2e43-43a7-89bd-0131da6c362e.png
00000004,1/01/2008,"$1,100.00",Sample Company Pty Ltd,c9fc0637-44d8-4159-96f8-750a0d03b440.jpg
249,24th June 2020,$18.00,EStore,cf93684c-32cc-4cf4-9065-116ec75cc7e2.png
090001,9/24/2021,"$3,610.00",Northern Star Design Studio,d056cb61-069a-4d34-aeef-a9fd615ba6b6.jpg
000562,11/05/2020,"$12,512.00",Globex Corporation,d0de0f42-15fa-4d7a-b13c-3917d0b3a4ad.png
A08029191212A017,Dec 12 2019,530.10,Balaji Infocom,d63180b8-4981-4956-8e7a-79eefb74a26d.jpg
1064,"April 14, 2011",125.09,Valdosta Lowndes County Industrial Authority,da9b2f5a-e31c-4b40-8246-49bfbc2d8042.jpg
CLR 000009,23/04/2017,"Rs.12,334.89",Vijaya Traders Private Limited,de07dc70-921f-47e2-ab79-80a192eddec3.jpg
US-001,11/02/2019,$154.06,East Repair Inc.,e2072ab9-5e82-4463-a68c-82c7854bb053.png
2111111111,Nov 1 2021,"1,433.53",LUMEN,e49944b8-380e-4f5b-8919-efb255f34769.png
ABC-DEF-GB-2018-XXXXXXXX,05.04.2018,£564.00,"Amazon EU S.à.r.l., UK Branch",f0c1e56f-41e2-40a1-a6ac-8b29b59d82ee.jpg
885,19/02/2018,"96,415.00",SAMARJEET AUTO,f18c99c6-6fa5-42f4-92b5-e8fc4d39cf93.jpg
BT-1638,03JAN02,"USD 309,400","Baking Technologies, Inc.",f1b24122-4e43-4540-b035-e245de3b6d68.jpg
F7HMK20002,25-09-2017,5391,Sane Retails Pvt Ltd,f248a9ed-e8e5-4af0-836f-4eb58886e894.jpeg
52148,01/02/2020,$220.00,NULL,f5ef2aae-282b-498c-997f-0f605fd7539d.png
1129705,18-Sep-2014,"136,320.00",Varco B.J B.V.,fee4caf7-96ba-41db-ae55-90be82280b3a.jpg
